x,y,z,qx,qy,qz,qw
-1.610696434974670410e+00,5.687470912933349609e+00,6.725315570831298828e+00,-3.472069817561978383e-02,4.752729277425433302e-02,-7.003944388056891901e-01,7.113250235288838264e-01
-1.429857492446899414e+00,5.712208271026611328e+00,6.710899353027343750e+00,-3.623558825404281369e-02,4.876186224760634819e-02,-7.000504853435635111e-01,7.115044000551590253e-01
-1.335241675376892090e+00,5.737865924835205078e+00,6.698593616485595703e+00,-3.490825706584853305e-02,4.767580952698535768e-02,-6.945287126410689682e-01,7.170343580576581388e-01
-1.311720967292785645e+00,5.764536857604980469e+00,6.697086811065673828e+00,-3.289888412820150820e-02,4.835875962197654088e-02,-6.870017146256133245e-01,7.242981102072616473e-01
-1.329864382743835449e+00,5.803087234497070312e+00,6.700228691101074219e+00,-3.022153770168393636e-02,4.851710339170350189e-02,-6.809886292004293518e-01,7.300597476330128455e-01
-1.361973404884338379e+00,5.841064929962158203e+00,6.707665920257568359e+00,-2.746475233747300293e-02,4.796993089242686942e-02,-6.763091308213767805e-01,7.345410942894019524e-01
-1.400877118110656738e+00,5.884851455688476562e+00,6.721865177154541016e+00,-2.615342190996236202e-02,4.743520712270558881e-02,-6.717811547582306364e-01,7.387665069679537622e-01
-1.433990120887756348e+00,5.929803371429443359e+00,6.727969646453857422e+00,-2.598381080123838421e-02,4.685385515729156847e-02,-6.682537307776607038e-01,7.420016821594944689e-01
-1.439357042312622070e+00,5.975306034088134766e+00,6.738527774810791016e+00,-2.473890222092563901e-02,4.643484934287293170e-02,-6.672969102676571396e-01,7.429312342529305058e-01
-1.454717874526977539e+00,6.016074180603027344e+00,6.743022441864013672e+00,-2.478545831931184065e-02,4.662889413714049747e-02,-6.655613046455741699e-01,7.444727424337108657e-01
-1.467069745063781738e+00,6.038083076477050781e+00,6.745608806610107422e+00,-2.533113263254996653e-02,4.727564733699379795e-02,-6.638017533183513397e-01,7.459830681354915338e-01
-1.468727588653564453e+00,6.057270050048828125e+00,6.745456695556640625e+00,-2.529158258893911271e-02,4.614331781088416157e-02,-6.623764861962599948e-01,7.473210219524801801e-01
-1.470341086387634277e+00,6.071405410766601562e+00,6.743724346160888672e+00,-2.527663390764094825e-02,4.554981399309806361e-02,-6.619399932828925470e-01,7.477445489488004915e-01
-1.458604574203491211e+00,6.079518318176269531e+00,6.746378898620605469e+00,-2.423042374753226966e-02,4.450823263038067995e-02,-6.625461801488292668e-01,7.473049755174643316e-01
-1.463997244834899902e+00,6.073016643524169922e+00,6.749404430389404297e+00,-2.414048466180310562e-02,4.456830934004064881e-02,-6.622358316402595646e-01,7.475793612614751726e-01
-1.456491708755493164e+00,6.069712162017822266e+00,6.749399185180664062e+00,-2.389239530955533652e-02,4.476179995287923874e-02,-6.633130799054299809e-01,7.466201685164440827e-01
-1.454417705535888672e+00,6.060025691986083984e+00,6.747114658355712891e+00,-2.366861024945486613e-02,4.528582796815187189e-02,-6.636576517917222029e-01,7.462892837843557725e-01
-1.451614618301391602e+00,6.044753074645996094e+00,6.740061283111572266e+00,-2.414459409790602890e-02,4.492753153278385841e-02,-6.639550333316643904e-01,7.460312192986612301e-01
-1.447270631790161133e+00,6.033088207244873047e+00,6.734511852264404297e+00,-2.451633421741046884e-02,4.573013061282529823e-02,-6.649189792547269828e-01,7.451112854450102629e-01
-1.450866341590881348e+00,6.021641731262207031e+00,6.732367038726806641e+00,-2.464521931962449300e-02,4.564850292860051645e-02,-6.652248927483632723e-01,7.448390163973819256e-01
-1.455624818801879883e+00,6.009836196899414062e+00,6.736423492431640625e+00,-2.434716429945816413e-02,4.631126752955844195e-02,-6.654855209944797734e-01,7.445750757990350355e-01
-1.452085614204406738e+00,5.997299194335937500e+00,6.743643283843994141e+00,-2.376979549349762452e-02,4.680023267797856629e-02,-6.667684168637503239e-01,7.434146786863423673e-01
-1.447044610977172852e+00,5.992731094360351562e+00,6.739694118499755859e+00,-2.452050859163784277e-02,4.695668979039911012e-02,-6.673349733517276450e-01,7.428717997219019820e-01
-1.449918746948242188e+00,5.993852615356445312e+00,6.736668586730957031e+00,-2.434642539604881667e-02,4.695161549799035938e-02,-6.671742232429365149e-01,7.430222447407901498e-01
-1.448754549026489258e+00,5.995427131652832031e+00,6.732978343963623047e+00,-2.454099225176329183e-02,4.674135828649877283e-02,-6.674045177466910728e-01,7.428223003291405391e-01
-1.450679540634155273e+00,5.998420238494873047e+00,6.733584403991699219e+00,-2.480220397822809064e-02,4.666683153515788912e-02,-6.663732608433688975e-01,7.437435777971936890e-01
